route_name,perturbation_steps,initial_similarity,final_similarity,duration_sec
osdpm_0_1,1,0.20181839,0,62.2284193
osdpm_0_2,1,0.14081773,0.0140135,52.66888499
osdpm_0_3,2,0.54662656,0.03871833,80.9273417
osdpm_0_4,2,0.10244553,0.00764362,41.6370461
osdpm_0_5,2,0.0726323,0,66.97230124
osdpm_1_1,3,0.23032281,0.02781672,24.09527946
osdpm_1_2,1,0.38128278,0,18.68868947
osdpm_1_3,1,0.51826539,0.0127026,26.71403074
osdpm_1_4,10,0.94978733,0.04969479,108.5999572
osdpm_1_5,1,0.30353381,0.0360051,11.83899307
osdpm_2_1,1,0.32001327,0,14.375422
osdpm_2_2,1,0.30800672,0.03287992,46.46094584
osdpm_2_3,1,0.79246406,0,19.98235273
osdpm_2_4,1,0.26529364,0.03423036,27.6251049
osdpm_2_5,3,0.4856481,0.02817467,87.00519061
osdpm_3_1,1,0.3397896,0,18.96160126
osdpm_3_2,1,0.38832785,0.01914108,13.59327936
osdpm_3_3,1,0.28315573,0,9.450708151
osdpm_3_4,2,0.04626205,0.01016335,9.46894455
osdpm_3_5,4,1,0.02811017,68.04673314
osdpm_4_1,9,0.62412555,0,93.22096848
osdpm_4_2,5,0.45869451,0.04309496,60.17005181
osdpm_4_3,3,0.26361396,0.04973085,35.39921594
osdpm_4_4,1,0.23928952,0,14.61992264
osdpm_4_5,1,0.6082167,0,20.10582685
